game,rating,perplexity,coherence
l4d2,pos,-7.587418684138787,0.6750955204816194
l4d2,neg,-7.726450686903403,0.4516011955148896
fear,pos,-7.622105133996124,0.3931062226471662
fear,neg,-7.55799670972525,0.3287696252906167
alien_isolation,pos,-7.637337115811398,0.4329580648686759
alien_isolation,neg,-7.641288958567937,0.3476389858681298
hitman,pos,-7.581663764956727,0.4519861217397987
hitman,neg,-7.608758076732662,0.4448914481089938
shadow_of_mordor,pos,-7.54784680725344,0.474000871107688
shadow_of_mordor,neg,-7.70737525606302,0.3815302256837425
halo_infinite,pos,-7.472495361217095,0.5494286855744415
halo_infinite,neg,-7.597662258691191,0.4395125929137722
the_last_of_us,pos,-7.189400859516158,0.5622965796038287
the_last_of_us,neg,-7.2420653478695876,0.5699185088959399
